order_id,order_date,year,month,region,state,customer_id,customer_age,customer_income,customer_segment,product_category,sales_channel,payment_method,unit_price,quantity,discount_rate,shipping_cost,sales_amount,profit,profit_margin,customer_rating,return_flag,delivery_days,marketing_spend,ad_clicks,website_visits,employee_id
1,2024-03-30,2024,3,Midwest,IL,112955,39,35530.07,Family,Electronics,Third Party,Credit Card,306.92,4,0.097,1.6,1110.2,282.33,0.254,3.7,0,5,39.48,6,24,1008
2,2024-11-26,2024,11,West,AZ,106045,51,162346.52,Student,Electronics,Online,Credit Card,316.75,3,0.181,7.64,785.89,326.28,0.415,3.5,1,5,41.69,2,16,1111
3,2021-12-27,2021,12,South,FL,111098,35,85131.04,Family,Groceries,Online,PayPal,34.97,6,0.253,,167.37,51.12,0.305,2.6,0,2,22.33,2,18,1128
4,2024-12-13,2024,12,South,FL,101373,55,42848.82,Young Professional,Electronics,In Store,Debit Card,170.02,4,0.065,1.85,637.72,250.14,0.392,4.7,0,0,28.67,5,16,1124
5,2024-12-26,2024,12,Northeast,NY,109958,38,22619.24,Business,Beauty,Online,Debit Card,22.43,3,0.059,6.99,70.31,19.14,0.272,2.2,0,4,66.1,10,22,1082
6,2025-12-24,2025,12,Northeast,NY,119730,48,55877.14,Young Professional,Electronics,Mobile App,Debit Card,151.76,4,0.212,8.61,486.96,73.97,0.152,3.9,0,5,118.21,10,25,1087
7,2022-08-04,2022,8,Northeast,NJ,111444,34,71917.27,Student,Electronics,Third Party,PayPal,185.77,3,0.212,1.9,441.06,192.21,0.436,2.9,1,3,18.74,0,14,1136
8,2022-04-07,2022,4,West,CO,114470,58,64526.45,Young Professional,Books,In Store,Credit Card,63.49,2,0.238,0.0,96.76,17.19,0.178,4.0,1,0,34.06,4,16,1114
9,2023-09-16,2023,9,South,FL,115067,54,50714.89,Young Professional,Books,In Store,Credit Card,9.39,5,0.181,0.71,39.16,6.34,0.162,5.0,0,0,34.6,7,17,1093
10,2025-12-05,2025,12,South,FL,111390,31,,Family,Groceries,Mobile App,Credit Card,33.26,2,0.095,4.19,64.39,23.3,0.362,5.0,0,5,54.48,2,17,1022
11,2022-04-05,2022,4,Northeast,CT,117850,29,33230.52,Student,Books,In Store,Cash,23.86,2,0.027,0.0,46.43,8.25,0.178,5.0,0,0,50.14,6,24,1004
12,2022-07-25,2022,7,West,AZ,105772,52,,Family,Books,Third Party,Debit Card,73.56,3,0.007,5.39,224.53,77.1,0.343,5.0,0,7,8.8,0,14,1030
13,2023-11-21,2023,11,West,OR,101727,44,105049.83,Student,Clothing,Mobile App,Cash,11.76,2,0.24,5.34,23.22,7.06,0.304,4.1,0,7,21.39,2,14,1021
14,2022-09-13,2022,9,Northeast,PA,127863,56,46053.51,Business,Electronics,In Store,PayPal,67.2,2,0.32,1.07,92.46,36.34,0.393,4.3,0,0,18.93,3,21,1136
15,2022-11-08,2022,11,Northeast,MA,121954,45,73966.09,Young Professional,Groceries,Online,Credit Card,47.5,6,0.269,11.54,219.88,54.7,0.249,4.4,0,7,62.55,11,32,1048
16,2025-06-03,2025,6,Northeast,PA,106127,27,51425.33,Business,Clothing,Online,Credit Card,105.54,3,0.223,1.91,247.92,64.79,0.261,3.5,0,6,59.47,7,19,1149
17,2021-03-30,2021,3,Midwest,WI,128359,66,27133.49,Young Professional,Groceries,Online,Gift Card,28.91,3,0.114,6.65,83.49,24.35,0.292,5.0,0,5,96.89,15,31,1081
18,2023-02-16,2023,2,South,GA,110067,22,35603.39,Family,Electronics,Mobile App,Gift Card,278.87,3,0.06,6.66,793.07,349.02,0.44,4.1,0,3,27.32,6,22,1148
19,2021-07-16,2021,7,Midwest,IL,109600,41,49078.76,Young Professional,Books,Mobile App,Cash,30.98,2,0.077,11.04,68.23,24.29,0.356,5.0,0,4,25.67,3,20,1122
20,2025-05-12,2025,5,Midwest,WI,117603,45,102293.66,Student,Beauty,In Store,Debit Card,125.13,4,0.358,1.78,323.11,76.33,0.236,3.1,0,0,62.29,10,27,1084
21,2024-03-31,2024,3,South,VA,122141,18,34163.67,Family,Furniture,Mobile App,Credit Card,223.59,5,0.266,3.13,823.71,232.35,0.282,,0,7,60.32,3,14,1090
22,2025-03-20,2025,3,Northeast,MA,105001,49,69719.35,Family,Beauty,In Store,Debit Card,136.99,2,0.084,3.16,254.13,8.58,0.034,4.3,1,0,14.84,2,20,1057
23,2025-12-23,2025,12,Midwest,WI,125955,25,90931.56,Student,Sports,Third Party,Credit Card,134.38,1,,1.46,129.26,29.67,0.23,3.2,0,3,47.74,3,15,1000
24,2025-11-22,2025,11,Midwest,MI,127758,47,,Young Professional,Groceries,Mobile App,Debit Card,106.74,4,0.096,10.53,396.5,77.45,0.195,4.3,0,4,5.85,1,19,1148
25,2022-01-26,2022,1,Midwest,WI,122001,54,166426.73,Young Professional,Clothing,Mobile App,PayPal,196.86,2,0.121,11.66,357.74,113.26,0.317,3.3,0,3,47.15,7,20,1063
26,2023-07-21,2023,7,South,VA,111152,58,75251.42,Young Professional,Furniture,Online,Credit Card,668.74,2,0.019,14.02,1326.09,406.41,0.306,4.1,0,3,55.27,3,16,1110
27,2023-05-21,2023,5,Northeast,NJ,112386,45,75130.06,Family,Sports,Mobile App,Credit Card,113.89,2,0.044,6.62,224.38,62.6,0.279,3.5,0,4,5.42,1,16,1074
28,2021-10-12,2021,10,South,VA,110084,28,17737.02,Student,Clothing,Online,PayPal,22.55,4,0.052,14.91,100.42,30.48,0.304,2.8,0,3,14.81,2,16,1137
29,2022-04-27,2022,4,South,VA,126266,21,59143.13,Family,Sports,Online,Gift Card,24.02,4,0.083,16.2,104.31,49.67,0.476,4.2,0,5,68.74,10,27,1037
30,2021-04-18,2021,4,Northeast,NJ,125198,62,33896.93,Family,Sports,Online,PayPal,204.84,2,0.046,13.84,404.67,96.57,0.239,4.9,0,5,22.53,2,14,1057
31,2025-05-19,2025,5,South,FL,101393,32,60134.65,Retiree,Groceries,Online,PayPal,46.73,1,0.283,12.59,46.1,15.17,0.329,4.2,0,1,108.41,13,31,1143
32,2021-08-05,2021,8,Northeast,MA,105422,45,46733.91,Family,Electronics,Online,Credit Card,938.3,2,0.231,16.2,1459.31,591.82,0.406,3.7,0,3,30.24,1,14,1024
33,2021-06-17,2021,6,Northeast,PA,121317,34,71912.09,Business,Electronics,Mobile App,Credit Card,226.7,2,0.081,9.13,425.8,118.85,0.279,3.3,0,5,14.77,4,16,1054
34,2021-07-26,2021,7,West,AZ,109012,35,51082.6,Young Professional,Beauty,Mobile App,Cash,19.77,2,0.03,6.09,44.44,-2.14,-0.048,4.1,0,3,81.56,14,32,1008
35,2021-12-12,2021,12,West,AZ,126334,37,,Family,Sports,Third Party,Credit Card,377.81,1,0.08,1.71,349.3,108.56,0.311,2.2,1,6,32.4,5,14,1079
